id,left,top,right,bottom,num_of_points,F,H,L,P
"1",79.002195,21.253185,79.007195,21.248185,0,0,0,0,0
"2",79.002195,21.248185,79.007195,21.243185,0,0,0,0,0
"3",79.002195,21.243185,79.007195,21.238185,0,0,0,0,0
"4",79.002195,21.238185,79.007195,21.233185,0,0,0,0,0
"5",79.002195,21.233185,79.007195,21.228185,0,0,0,0,0
"6",79.002195,21.228185,79.007195,21.223185,0,0,0,0,0
"7",79.002195,21.223185,79.007195,21.218185,0,0,0,0,0
"8",79.002195,21.218185,79.007195,21.213185,0,0,0,0,0
"9",79.002195,21.213185,79.007195,21.208185,0,0,0,0,0
"10",79.002195,21.208185,79.007195,21.203185,0,0,0,0,0
"11",79.002195,21.203185,79.007195,21.198185,0,0,0,0,0
"12",79.002195,21.198185,79.007195,21.193185,0,0,0,0,0
"13",79.002195,21.193185,79.007195,21.188185,0,0,0,0,0
"14",79.002195,21.188185,79.007195,21.183185,0,0,0,0,0
"15",79.002195,21.183185,79.007195,21.178185,0,0,0,0,0
"16",79.002195,21.178185,79.007195,21.173185,5,0,0,0,5
"17",79.002195,21.173185,79.007195,21.168185,7,0,0,0,7
"18",79.002195,21.168185,79.007195,21.163185,0,0,0,0,0
"19",79.002195,21.163185,79.007195,21.158185,0,0,0,0,0
"20",79.002195,21.158185,79.007195,21.153185,22,2,9,4,7
"21",79.002195,21.153185,79.007195,21.148185,2,0,0,0,2
"22",79.002195,21.148185,79.007195,21.143185,0,0,0,0,0
"23",79.002195,21.143185,79.007195,21.138185,0,0,0,0,0
"24",79.002195,21.138185,79.007195,21.133185,0,0,0,0,0
"25",79.002195,21.133185,79.007195,21.128185,0,0,0,0,0
"26",79.002195,21.128185,79.007195,21.123185,0,0,0,0,0
"27",79.002195,21.123185,79.007195,21.118185,0,0,0,0,0
"28",79.002195,21.118185,79.007195,21.113185,0,0,0,0,0
"29",79.002195,21.113185,79.007195,21.108185,0,0,0,0,0
"30",79.002195,21.108185,79.007195,21.103185,0,0,0,0,0
"31",79.002195,21.103185,79.007195,21.098185,0,0,0,0,0
"32",79.002195,21.098185,79.007195,21.093185,0,0,0,0,0
"33",79.002195,21.093185,79.007195,21.088185,0,0,0,0,0
"34",79.002195,21.088185,79.007195,21.083185,0,0,0,0,0
"35",79.002195,21.083185,79.007195,21.078185,0,0,0,0,0
"36",79.002195,21.078185,79.007195,21.073185,0,0,0,0,0
"37",79.002195,21.073185,79.007195,21.068185,0,0,0,0,0
"38",79.002195,21.068185,79.007195,21.063185,0,0,0,0,0
"39",79.002195,21.063185,79.007195,21.058185,0,0,0,0,0
"40",79.002195,21.058185,79.007195,21.053185,0,0,0,0,0
"41",79.002195,21.053185,79.007195,21.048185,0,0,0,0,0
"42",79.002195,21.048185,79.007195,21.043185,0,0,0,0,0
"43",79.002195,21.043185,79.007195,21.038185,0,0,0,0,0
"44",79.002195,21.038185,79.007195,21.033185,0,0,0,0,0
"45",79.002195,21.033185,79.007195,21.028185,0,0,0,0,0
"46",79.002195,21.028185,79.007195,21.023185,0,0,0,0,0
"47",79.002195,21.023185,79.007195,21.018185,0,0,0,0,0
"48",79.002195,21.018185,79.007195,21.013185,0,0,0,0,0
"49",79.007195,21.253185,79.012195,21.248185,4,0,0,4,0
"50",79.007195,21.248185,79.012195,21.243185,3,0,0,1,2
"51",79.007195,21.243185,79.012195,21.238185,0,0,0,0,0
"52",79.007195,21.238185,79.012195,21.233185,0,0,0,0,0
"53",79.007195,21.233185,79.012195,21.228185,0,0,0,0,0
"54",79.007195,21.228185,79.012195,21.223185,0,0,0,0,0
"55",79.007195,21.223185,79.012195,21.218185,0,0,0,0,0
"56",79.007195,21.218185,79.012195,21.213185,0,0,0,0,0
"57",79.007195,21.213185,79.012195,21.208185,0,0,0,0,0
"58",79.007195,21.208185,79.012195,21.203185,0,0,0,0,0
"59",79.007195,21.203185,79.012195,21.198185,0,0,0,0,0
"60",79.007195,21.198185,79.012195,21.193185,0,0,0,0,0
"61",79.007195,21.193185,79.012195,21.188185,0,0,0,0,0
"62",79.007195,21.188185,79.012195,21.183185,0,0,0,0,0
"63",79.007195,21.183185,79.012195,21.178185,0,0,0,0,0
"64",79.007195,21.178185,79.012195,21.173185,0,0,0,0,0
"65",79.007195,21.173185,79.012195,21.168185,4,0,0,0,4
"66",79.007195,21.168185,79.012195,21.163185,3,0,0,0,3
"67",79.007195,21.163185,79.012195,21.158185,7,0,2,5,0
"68",79.007195,21.158185,79.012195,21.153185,53,2,18,23,10
"69",79.007195,21.153185,79.012195,21.148185,0,0,0,0,0
"70",79.007195,21.148185,79.012195,21.143185,0,0,0,0,0
"71",79.007195,21.143185,79.012195,21.138185,0,0,0,0,0
"72",79.007195,21.138185,79.012195,21.133185,0,0,0,0,0
"73",79.007195,21.133185,79.012195,21.128185,0,0,0,0,0
"74",79.007195,21.128185,79.012195,21.123185,0,0,0,0,0
"75",79.007195,21.123185,79.012195,21.118185,0,0,0,0,0
"76",79.007195,21.118185,79.012195,21.113185,0,0,0,0,0
"77",79.007195,21.113185,79.012195,21.108185,0,0,0,0,0
"78",79.007195,21.108185,79.012195,21.103185,0,0,0,0,0
"79",79.007195,21.103185,79.012195,21.098185,0,0,0,0,0
"80",79.007195,21.098185,79.012195,21.093185,0,0,0,0,0
"81",79.007195,21.093185,79.012195,21.088185,0,0,0,0,0
"82",79.007195,21.088185,79.012195,21.083185,0,0,0,0,0
"83",79.007195,21.083185,79.012195,21.078185,0,0,0,0,0
"84",79.007195,21.078185,79.012195,21.073185,0,0,0,0,0
"85",79.007195,21.073185,79.012195,21.068185,0,0,0,0,0
"86",79.007195,21.068185,79.012195,21.063185,0,0,0,0,0
"87",79.007195,21.063185,79.012195,21.058185,0,0,0,0,0
"88",79.007195,21.058185,79.012195,21.053185,0,0,0,0,0
"89",79.007195,21.053185,79.012195,21.048185,0,0,0,0,0
"90",79.007195,21.048185,79.012195,21.043185,0,0,0,0,0
"91",79.007195,21.043185,79.012195,21.038185,0,0,0,0,0
"92",79.007195,21.038185,79.012195,21.033185,0,0,0,0,0
"93",79.007195,21.033185,79.012195,21.028185,0,0,0,0,0
"94",79.007195,21.028185,79.012195,21.023185,0,0,0,0,0
"95",79.007195,21.023185,79.012195,21.018185,0,0,0,0,0
"96",79.007195,21.018185,79.012195,21.013185,0,0,0,0,0
"97",79.012195,21.253185,79.017195,21.248185,0,0,0,0,0
"98",79.012195,21.248185,79.017195,21.243185,0,0,0,0,0
"99",79.012195,21.243185,79.017195,21.238185,0,0,0,0,0
"100",79.012195,21.238185,79.017195,21.233185,0,0,0,0,0
"101",79.012195,21.233185,79.017195,21.228185,0,0,0,0,0
"102",79.012195,21.228185,79.017195,21.223185,0,0,0,0,0
"103",79.012195,21.223185,79.017195,21.218185,0,0,0,0,0
"104",79.012195,21.218185,79.017195,21.213185,0,0,0,0,0
"105",79.012195,21.213185,79.017195,21.208185,0,0,0,0,0
"106",79.012195,21.208185,79.017195,21.203185,0,0,0,0,0
"107",79.012195,21.203185,79.017195,21.198185,0,0,0,0,0
"108",79.012195,21.198185,79.017195,21.193185,0,0,0,0,0
"109",79.012195,21.193185,79.017195,21.188185,0,0,0,0,0
"110",79.012195,21.188185,79.017195,21.183185,0,0,0,0,0
"111",79.012195,21.183185,79.017195,21.178185,0,0,0,0,0
"112",79.012195,21.178185,79.017195,21.173185,0,0,0,0,0
"113",79.012195,21.173185,79.017195,21.168185,0,0,0,0,0
"114",79.012195,21.168185,79.017195,21.163185,11,0,4,0,7
"115",79.012195,21.163185,79.017195,21.158185,26,0,7,17,2
"116",79.012195,21.158185,79.017195,21.153185,30,2,12,14,2
"117",79.012195,21.153185,79.017195,21.148185,0,0,0,0,0
"118",79.012195,21.148185,79.017195,21.143185,0,0,0,0,0
